date,hour,holiday,workingday,weekday,weather_type,temp,ftemp,humidity,wind_speed,casual,subscribed,usage
2011-01-03,0,0,1,1,1,0.22,0.19699999999999998,0.44,0.3582,0,15,15
2011-01-03,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,6,6
2011-01-03,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,3,3
2011-01-03,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,9,9
2011-01-03,6,0,1,1,1,0.14,-,0.5,0.3881,0,90,90
2011-01-03,7,0,1,1,1,0.14,-,0.5,0.19399999999999998,4,189,193
2011-01-03,8,0,1,1,1,0.14,0.1212,0.5,0.2836,4,459,463
2011-01-03,9,0,1,1,1,0.16,-,0.43,0.3881,28,243,271
2011-01-03,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44,99,143
2011-01-03,11,0,1,1,1,0.2,-,0.4,0.3284,40,123,163
2011-01-03,12,0,1,1,1,0.22,-,0.35,0.2985,52,144,196
2011-01-03,13,0,1,1,1,0.24,0.2121,0.35,0.2836,32,159,191
2011-01-03,14,0,1,1,1,0.26,-,0.3,0.2836,44,198,242
2011-01-03,15,0,1,1,1,0.26,-,0.3,0.2537,56,174,230
2011-01-03,16,0,1,1,1,0.26,-,0.3,0.2537,36,201,237
2011-01-03,17,0,1,1,1,0.24,0.2273,0.3,0.2239,44,438,482
2011-01-03,18,0,1,1,1,0.24,0.2576,0.32,0.1045,36,444,480
2011-01-03,19,0,1,1,1,0.2,0.2576,0.47,0.0,32,306,338
2011-01-03,20,0,1,1,1,0.2,0.2273,0.47,0.1045,12,147,159
2011-01-03,21,0,1,1,1,0.18,-,0.64,0.1343,12,147,159
2011-01-03,22,0,1,1,1,0.14,-,0.69,0.1343,0,60,60
2011-01-03,23,0,1,1,1,0.18,-,0.55,0.1045,4,33,37
2011-01-04,0,0,1,2,1,0.16,0.1818,0.55,0.1045,0,15,15
2011-01-04,1,0,1,2,1,0.16,-,0.59,0.1045,0,6,6
2011-01-04,2,0,1,2,1,0.14,0.1515,0.63,0.1343,0,3,3
2011-01-04,4,0,1,2,1,0.14,0.1818,0.63,0.0896,0,6,6
2011-01-04,5,0,1,2,1,0.12,0.1515,0.68,0.1045,0,12,12
2011-01-04,6,0,1,2,1,0.12,0.1515,0.74,0.1045,0,108,108
2011-01-04,7,0,1,2,1,0.12,0.1515,0.74,0.1343,8,276,284
2011-01-04,8,0,1,2,1,0.14,0.1515,0.69,0.1642,8,531,539
2011-01-04,9,0,1,2,1,0.16,-,0.64,0.2239,8,294,302
2011-01-04,10,0,1,2,2,0.16,0.1364,0.69,0.3284,20,111,131
2011-01-04,11,0,1,2,1,0.22,0.2121,0.51,0.2985,28,150,178
2011-01-04,12,0,1,2,1,0.22,-,0.51,0.1642,48,198,246
2011-01-04,13,0,1,2,1,0.24,0.2273,0.56,0.19399999999999998,72,237,309
2011-01-04,14,0,1,2,1,0.26,0.2576,0.52,0.2239,36,162,198
2011-01-04,15,0,1,2,1,0.28,0.2727,0.52,0.2537,68,144,212
2011-01-04,16,0,1,2,1,0.3,-,0.49,0.2537,60,204,264
2011-01-04,17,0,1,2,1,0.28,0.2727,0.48,0.2239,40,606,646
2011-01-04,18,0,1,2,1,0.26,0.2576,0.48,0.19399999999999998,12,537,549
2011-01-04,19,0,1,2,1,0.24,-,0.48,0.1045,8,330,338
2011-01-04,20,0,1,2,1,0.24,0.2576,0.48,0.1045,4,159,163
2011-01-04,21,0,1,2,1,0.22,-,0.64,0.0,0,144,144
2011-01-04,22,0,1,2,1,0.22,0.2576,0.64,0.0896,4,102,106
2011-01-04,23,0,1,2,1,0.2,0.2273,0.69,0.0896,8,27,35
2011-01-05,0,0,1,3,1,0.2,0.2576,0.64,0.0,0,18,18
2011-01-05,1,0,1,3,1,0.16,0.19699999999999998,0.74,0.0896,0,18,18
2011-01-05,2,0,1,3,1,0.16,-,0.74,0.0896,0,6,6
2011-01-05,4,0,1,3,1,0.24,-,0.48,0.2239,0,6,6
2011-01-05,5,0,1,3,1,0.22,-,0.47,0.1642,0,9,9
2011-01-05,6,0,1,3,1,0.2,0.19699999999999998,0.47,0.2239,0,99,99
2011-01-05,7,0,1,3,1,0.18,-,0.43,0.19399999999999998,4,261,265
2011-01-05,8,0,1,3,1,0.2,0.1818,0.4,0.2985,12,576,588
2011-01-05,9,0,1,3,1,0.22,0.19699999999999998,0.37,0.3284,24,327,351
2011-01-05,10,0,1,3,1,0.22,0.19699999999999998,0.37,0.3284,16,159,175
2011-01-05,11,0,1,3,1,0.26,0.2273,0.33,0.3284,48,102,150
2011-01-05,12,0,1,3,1,0.26,0.2273,0.33,0.3284,20,222,242
2011-01-05,13,0,1,3,1,0.28,0.2576,0.3,0.2985,24,195,219
2011-01-05,14,0,1,3,1,0.3,0.2879,0.28,0.19399999999999998,40,156,196
2011-01-05,15,0,1,3,1,0.3,0.2879,0.28,0.19399999999999998,28,165,193
2011-01-05,16,0,1,3,1,0.3,0.3182,0.28,0.0896,16,255,271
2011-01-05,17,0,1,3,1,0.24,0.2273,0.38,0.19399999999999998,16,558,574
2011-01-05,18,0,1,3,1,0.24,0.2424,0.38,0.1343,12,498,510
2011-01-05,19,0,1,3,1,0.24,0.2576,0.38,0.1045,20,381,401
2011-01-05,20,0,1,3,1,0.22,0.2273,0.47,0.1642,28,246,274
2011-01-05,21,0,1,3,1,0.2,0.19699999999999998,0.51,0.19399999999999998,12,120,132
2011-01-05,22,0,1,3,1,0.18,-,0.55,0.1343,4,123,127
2011-01-05,23,0,1,3,1,0.2,0.2576,0.47,0.0,4,54,58
2011-01-06,0,0,1,4,1,0.18,-,0.55,0.0,0,33,33
2011-01-06,1,0,1,4,1,0.16,0.2273,0.64,0.0,0,12,12
2011-01-06,2,0,1,4,1,0.16,0.2273,0.64,0.0,0,6,6
2011-01-06,4,0,1,4,2,0.16,0.19699999999999998,0.64,0.0896,0,3,3
2011-01-06,5,0,1,4,2,0.14,0.1818,0.69,0.0896,0,12,12
2011-01-06,6,0,1,4,2,0.14,-,0.63,0.1045,0,108,108
2011-01-06,7,0,1,4,2,0.16,0.2273,0.59,0.0,0,285,285
2011-01-06,8,0,1,4,1,0.16,0.2273,0.59,0.0,12,648,660
2011-01-06,9,0,1,4,2,0.18,0.2424,0.51,0.0,24,348,372
2011-01-06,10,0,1,4,1,0.2,0.2576,0.47,0.0,12,126,138
2011-01-06,11,0,1,4,1,0.22,0.2576,0.44,0.0896,8,171,179
2011-01-06,12,0,1,4,1,0.26,0.2879,0.35,0.0,24,234,258
2011-01-06,13,0,1,4,1,0.26,-,0.35,0.1045,48,165,213
2011-01-06,14,0,1,4,1,0.28,0.2727,0.36,0.1642,44,177,221
2011-01-06,15,0,1,4,1,0.28,0.2727,0.36,0.0,32,162,194
2011-01-06,16,0,1,4,1,0.26,0.2576,0.38,0.1642,48,222,270
2011-01-06,17,0,1,4,1,0.22,0.2273,0.51,0.1642,36,489,525
2011-01-06,18,0,1,4,1,0.22,0.2273,0.51,0.1343,20,474,494
2011-01-06,19,0,1,4,1,0.22,0.2576,0.55,0.0896,12,327,339
2011-01-06,20,0,1,4,1,0.2,0.2121,0.51,0.1642,12,198,210
2011-01-06,21,0,1,4,2,0.22,0.2121,0.55,0.2239,0,144,144
2011-01-06,22,0,1,4,2,0.22,0.2121,0.51,0.2836,4,153,157
2011-01-06,23,0,1,4,2,0.2,0.19699999999999998,0.59,0.19399999999999998,16,57,73
2011-01-07,0,0,1,5,2,0.2,0.19699999999999998,0.64,0.19399999999999998,16,39,55
2011-01-07,1,0,1,5,2,0.2,0.19699999999999998,0.69,0.2239,8,15,23
2011-01-07,2,0,1,5,2,0.2,-,0.69,0.2239,0,3,3
2011-01-07,4,0,1,5,2,0.2,0.2121,0.69,0.1343,0,3,3
2011-01-07,5,0,1,5,3,0.22,0.2727,0.55,0.0,0,15,15
2011-01-07,6,0,1,5,2,0.2,0.2576,0.69,0.0,32,78,110
2011-01-07,7,0,1,5,1,0.2,0.2121,0.69,0.1343,32,228,260
2011-01-07,8,0,1,5,1,0.2,0.19699999999999998,0.51,0.2537,80,570,650
2011-01-07,9,0,1,5,1,0.2,0.1818,0.47,0.2985,36,375,411
2011-01-07,10,0,1,5,1,0.22,0.19699999999999998,0.37,0.3284,64,141,205
2011-01-07,11,0,1,5,2,0.2,-,0.4,0.2239,76,144,220
2011-01-07,12,0,1,5,2,0.2,0.19699999999999998,0.37,0.2537,36,150,186
2011-01-07,13,0,1,5,2,0.2,0.1818,0.37,0.2836,36,192,228
2011-01-07,14,0,1,5,2,0.2,-,0.4,0.2537,28,129,157
2011-01-07,15,0,1,5,2,0.2,0.2121,0.37,0.1642,36,189,225
2011-01-07,16,0,1,5,2,0.2,-,0.37,0.1642,20,246,266
2011-01-07,17,0,1,5,2,0.2,-,0.37,0.0,36,534,570
2011-01-07,18,0,1,5,1,0.2,-,0.4,0.0896,28,348,376
2011-01-07,19,0,1,5,1,0.16,0.19699999999999998,0.55,0.0896,12,276,288
2011-01-07,20,0,1,5,1,0.18,0.2121,0.47,0.1045,4,150,154
2011-01-07,21,0,1,5,1,0.18,-,0.47,0.1343,0,117,117
2011-01-07,22,0,1,5,2,0.18,0.19699999999999998,0.43,0.1642,8,102,110
2011-01-07,23,0,1,5,2,0.18,0.19699999999999998,0.51,0.1642,4,42,46
2011-01-08,0,0,0,6,2,0.18,-,0.51,0.1642,4,72,76
2011-01-08,1,0,0,6,2,0.18,0.2121,0.55,0.0896,4,45,49
2011-01-08,2,0,0,6,2,0.18,0.2424,0.55,0.0,12,39,51
2011-01-08,3,0,0,6,3,0.18,0.19699999999999998,0.55,0.1642,0,21,21
2011-01-08,4,0,0,6,3,0.18,0.19699999999999998,0.55,0.1642,0,3,3
2011-01-08,5,0,0,6,2,0.16,-,0.74,0.1642,0,15,15
2011-01-08,6,0,0,6,2,0.16,0.1667,0.74,0.1642,0,6,6
2011-01-08,7,0,0,6,2,0.16,0.1818,0.74,0.1045,4,24,28
2011-01-08,8,0,0,6,3,0.16,0.1818,0.93,0.1045,0,45,45
2011-01-08,9,0,0,6,3,0.16,0.1818,0.93,0.1045,0,60,60
2011-01-08,10,0,0,6,2,0.18,-,0.8,0.1642,20,168,188
2011-01-08,11,0,0,6,2,0.2,-,0.69,0.3881,8,180,188
2011-01-08,12,0,0,6,2,0.2,0.1818,0.59,0.3582,32,270,302
2011-01-08,13,0,0,6,1,0.2,0.1818,0.44,0.3284,28,285,313
2011-01-08,14,0,0,6,1,0.2,0.1667,0.32,0.4925,48,249,297
2011-01-08,15,0,0,6,1,0.2,0.1667,0.32,0.4478,20,207,227
2011-01-08,16,0,0,6,1,0.18,0.1364,0.29,0.4478,32,204,236
2011-01-08,17,0,0,6,1,0.16,0.1212,0.37,0.5522,20,192,212
2011-01-08,18,0,0,6,1,0.14,0.1212,0.39,0.2985,12,156,168
2011-01-08,19,0,0,6,1,0.14,0.1212,0.36,0.2537,16,78,94
2011-01-08,20,0,0,6,1,0.12,-,0.36,0.2537,0,84,84
2011-01-08,21,0,0,6,1,0.12,0.1061,0.39,0.3582,8,105,113
2011-01-08,22,0,0,6,1,0.12,-,0.36,0.3881,4,99,103
2011-01-08,23,0,0,6,1,0.1,-,0.39,0.4478,0,66,66
2011-01-09,0,0,0,0,1,0.1,0.0758,0.42,0.3881,4,72,76
2011-01-09,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,36,36
2011-01-09,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,33,33
2011-01-09,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,12,12
2011-01-09,4,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,0,3,3
2011-01-09,5,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,0,3,3
2011-01-09,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,3,3
2011-01-09,7,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,4,15,19
2011-01-09,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,30,30
2011-01-09,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,57,57
2011-01-09,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,147,147
2011-01-09,11,0,0,0,1,0.16,0.1212,0.4,0.5224,8,141,149
2011-01-09,12,0,0,0,1,0.18,0.1364,0.37,0.4478,16,237,253
2011-01-09,13,0,0,0,1,0.2,0.1667,0.34,0.4478,24,207,231
2011-01-09,14,0,0,0,1,0.22,-,0.32,0.4627,32,192,224
2011-01-09,15,0,0,0,1,0.22,-,0.35,0.3582,20,231,251
2011-01-09,16,0,0,0,1,0.2,-,0.34,0.4478,52,237,289
2011-01-09,17,0,0,0,1,0.18,0.1515,0.37,0.3881,12,177,189
2011-01-09,18,0,0,0,1,0.16,0.1364,0.4,0.3284,16,132,148
2011-01-09,19,0,0,0,1,0.16,0.1364,0.43,0.3284,4,120,124
2011-01-09,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,114,114
2011-01-09,21,0,0,0,1,0.14,-,0.46,0.4179,4,57,61
2011-01-09,22,0,0,0,1,0.14,-,0.46,0.2985,20,30,50
2011-01-09,23,0,0,0,1,0.12,0.1364,0.5,0.19399999999999998,0,18,18
2011-01-10,0,0,1,1,1,0.12,0.1212,0.5,0.2836,8,9,17
2011-01-10,1,0,1,1,1,0.12,0.1212,0.5,0.2836,4,0,4
2011-01-10,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,9,9
2011-01-10,3,0,1,1,1,0.12,-,0.5,0.2239,0,3,3
2011-01-10,4,0,1,1,1,0.1,0.1212,0.54,0.1343,4,6,10
2011-01-10,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,9,9
2011-01-10,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,93,93
2011-01-10,7,0,1,1,1,0.12,-,0.5,0.2239,8,225,233
2011-01-10,8,0,1,1,2,0.12,-,0.5,0.2836,16,552,568
2011-01-10,9,0,1,1,2,0.14,-,0.5,0.2537,8,276,284
2011-01-10,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,93,93
2011-01-10,11,0,1,1,2,0.16,-,0.47,0.2836,8,84,92
2011-01-10,12,0,1,1,2,0.2,0.1818,0.4,0.2836,20,141,161
2011-01-10,13,0,1,1,2,0.2,-,0.4,0.2836,16,150,166
2011-01-10,14,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,0,141,141
2011-01-10,15,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,8,129,137
2011-01-10,16,0,1,1,1,0.2,-,0.4,0.1343,16,210,226
2011-01-10,17,0,1,1,1,0.2,0.2273,0.4,0.1045,16,522,538
2011-01-10,18,0,1,1,1,0.2,0.19699999999999998,0.4,0.2239,4,462,466
2011-01-10,19,0,1,1,1,0.16,0.1667,0.47,0.1642,12,276,288
2011-01-10,20,0,1,1,1,0.16,0.1667,0.5,0.1642,4,219,223
2011-01-10,21,0,1,1,1,0.14,-,0.59,0.19399999999999998,4,111,115
2011-01-10,22,0,1,1,1,0.14,0.1515,0.59,0.1642,8,66,74
2011-01-10,23,0,1,1,1,0.14,-,0.59,0.1642,0,54,54
2011-01-11,0,0,1,2,1,0.14,0.1667,0.59,0.1045,8,30,38
2011-01-11,1,0,1,2,1,0.14,0.1515,0.59,0.1642,0,9,9
2011-01-11,2,0,1,2,2,0.16,0.1515,0.55,0.19399999999999998,151543,9,151552
2011-01-11,5,0,1,2,2,0.16,0.1818,0.55,0.1343,0,18,18
2011-01-11,6,0,1,2,2,0.16,0.1818,0.55,0.1343,0,81,81
2011-01-11,7,0,1,2,2,0.16,0.2273,0.55,0.0,8,291,299
2011-01-11,8,0,1,2,2,0.18,0.2121,0.51,0.0896,12,642,654
2011-01-11,9,0,1,2,2,0.18,0.19699999999999998,0.51,0.1642,12,381,393
2011-01-11,10,0,1,2,2,0.2,-,0.51,0.1642,12,153,165
2011-01-11,11,0,1,2,2,0.2,0.2121,0.47,0.1343,16,93,109
2011-01-11,12,0,1,2,2,0.2,-,0.51,0.1045,8,165,173
2011-01-11,13,0,1,2,2,0.2,-,0.59,0.0896,24,138,162
2011-01-11,14,0,1,2,2,0.2,0.2273,0.59,0.0896,12,180,192
2011-01-11,15,0,1,2,2,0.16,-,0.8,0.0896,8,135,143
2011-01-11,16,0,1,2,2,0.16,0.1515,0.86,0.2239,16,216,232
2011-01-11,17,0,1,2,2,0.16,0.1515,0.86,0.2239,24,390,414
2011-01-11,18,0,1,2,3,0.16,0.1818,0.93,0.1045,4,282,286
2011-01-11,19,0,1,2,3,0.16,0.2273,0.93,0.0,0,153,153
2011-01-11,20,0,1,2,3,0.16,-,0.93,0.19399999999999998,0,96,96
2011-01-11,21,0,1,2,3,0.16,0.19699999999999998,0.86,0.0896,0,60,60
2011-01-11,22,0,1,2,3,0.16,-,0.93,0.1045,4,84,88
2011-01-11,23,0,1,2,3,0.16,0.19699999999999998,0.93,0.0896,4,54,58
2011-01-12,0,0,1,3,2,0.16,0.19699999999999998,0.86,0.0896,0,21,21
2011-01-12,1,0,1,3,2,0.16,0.1818,0.86,0.1045,0,18,18
2011-01-12,2,0,1,3,1,0.14,0.1515,0.86,0.1343,0,3,3
2011-01-12,5,0,1,3,1,0.14,0.1515,0.86,0.1642,0,15,15
2011-01-12,6,0,1,3,1,0.12,-,0.93,0.1343,0,48,48
2011-01-12,7,0,1,3,1,0.14,-,0.69,0.1343,0,162,162
2011-01-12,8,0,1,3,1,0.16,-,0.59,0.1642,12,375,387
2011-01-12,9,0,1,3,1,0.16,0.1364,0.59,0.3284,12,234,246
